!    1          2            3           4          5            6            7            8            9           10           11           12           13           14           15           16           17           18           19           20           21           22           23           24           25           26           27           28           29           30           31           32           33           34           35           36           37           38           39           40           41           42           43           44           45           46           47           48           49           50           51           52           53           54           55           56           57           58           59           60           61           62           63           64           65           66           67           68           69           70           71           72           73           74           75           76
! TEM(K)  log(PRE(N/m**2))  R/Rstar   log(d(cm-3))  H2           CO           C2H2         HCN          N2           CS           SiO          SiS          NaCl         KCl          AlCl         AlF          NaCN         HCP          C2           C3           C4           O2           OH           CO2          H2CO         HO2          H2O          H2O2         CH           CH2          CH3          CH4          C3H2         C4H2         C2H4         C2H          C3H          C4H          C2H3         C2H5         C2H6         NH           NH2          NH3          NO           CN           NCO          HCO          HCCO         CH2OH        CH3O         CH3OH        SH           H2S          SO           SO2          HCS          CS2          OCS          S2           NS           SiH          SiH2         SiH3         SiH4         SiO2         Si2          SiC          SiC2         SiCH         SiCH2        SiN          SiNH         Si2C         HNC          HF          
  2310.000  -.28985          1.01580   13.206      -1.4144      -3.3100      -5.8695      -5.3289      -4.5392      -5.0032      -10.044      -7.5930      -14.825      -17.372      -11.912      -10.910      -13.348      -8.4791      -5.3272      -5.7261      -11.775      -24.042      -12.789      -16.060      -16.369      -30.109      -13.416      -33.388      -6.6749      -8.4575      -10.078      -12.786      -13.761      -10.327      -15.163      -5.6416      -9.5815      -10.715      -12.862      -22.192      -25.622      -10.007      -12.660      -14.552      -15.670      -5.3223      -17.712      -12.366      -15.414      -24.040      -25.296      -27.238      -8.0650      -10.997      -16.905      -28.733      -10.968      -13.237      -14.322      -12.824      -12.937      -8.2682      -11.500      -17.361      -21.006      -24.318      -13.192      -9.2826      -8.1726      -11.009      -13.225      -10.325      -12.329      -13.369      -6.6480      -7.4519    
  2309.000  -.30055          1.01660   13.196      -1.4199      -3.3100      -5.8833      -5.3356      -4.5385      -5.0039      -10.048      -7.5955      -14.836      -17.383      -11.918      -10.910      -13.360      -8.4885      -5.3303      -5.7321      -11.786      -24.049      -12.795      -16.066      -16.385      -30.124      -13.428      -33.410      -6.6810      -8.4697      -10.096      -12.811      -13.782      -10.349      -15.191      -5.6504      -9.5942      -10.732      -12.885      -22.229      -25.665      -10.012      -12.673      -14.570      -15.674      -5.3238      -17.720      -12.375      -15.428      -24.065      -25.321      -27.270      -8.0697      -11.008      -16.909      -28.744      -10.977      -13.242      -14.328      -12.826      -12.940      -8.2756      -11.515      -17.383      -21.035      -24.329      -13.200      -9.2882      -8.1805      -11.021      -13.243      -10.330      -12.340      -13.379      -6.6554      -7.4520    
  2308.000  -.31126          1.01740   13.185      -1.4255      -3.3100      -5.8971      -5.3423      -4.5378      -5.0046      -10.052      -7.5979      -14.847      -17.395      -11.924      -10.910      -13.373      -8.4979      -5.3335      -5.7381      -11.797      -24.056      -12.802      -16.073      -16.402      -30.140      -13.440      -33.432      -6.6871      -8.4820      -10.114      -12.835      -13.803      -10.371      -15.220      -5.6592      -9.6069      -10.749      -12.907      -22.266      -25.708      -10.018      -12.685      -14.588      -15.678      -5.3253      -17.728      -12.385      -15.442      -24.091      -25.347      -27.302      -8.0743      -11.019      -16.913      -28.754      -10.986      -13.247      -14.334      -12.828      -12.942      -8.2830      -11.529      -17.406      -21.064      -24.340      -13.208      -9.2938      -8.1884      -11.032      -13.261      -10.334      -12.350      -13.390      -6.6629      -7.4522    
  2307.000  -.32196          1.01820   13.175      -1.4310      -3.3100      -5.9109      -5.3491      -4.5372      -5.0053      -10.055      -7.6004      -14.857      -17.407      -11.930      -10.911      -13.385      -8.5073      -5.3366      -5.7442      -11.809      -24.063      -12.809      -16.079      -16.418      -30.155      -13.452      -33.455      -6.6932      -8.4942      -10.132      -12.859      -13.824      -10.393      -15.248      -5.6680      -9.6197      -10.766      -12.930      -22.303      -25.752      -10.024      -12.698      -14.607      -15.682      -5.3267      -17.736      -12.395      -15.456      -24.116      -25.373      -27.334      -8.0790      -11.030      -16.918      -28.764      -10.995      -13.252      -14.340      -12.830      -12.945      -8.2905      -11.544      -17.428      -21.092      -24.351      -13.216      -9.2994      -8.1963      -11.044      -13.279      -10.338      -12.361      -13.400      -6.6704      -7.4523    
  2306.000  -.33267          1.01900   13.164      -1.4365      -3.3100      -5.9248      -5.3558      -4.5365      -5.0060      -10.059      -7.6029      -14.868      -17.418      -11.936      -10.911      -13.397      -8.5168      -5.3398      -5.7503      -11.820      -24.071      -12.816      -16.086      -16.435      -30.171      -13.464      -33.477      -6.6993      -8.5065      -10.150      -12.883      -13.844      -10.415      -15.276      -5.6768      -9.6325      -10.783      -12.952      -22.340      -25.795      -10.030      -12.710      -14.625      -15.686      -5.3282      -17.744      -12.405      -15.470      -24.142      -25.399      -27.366      -8.0836      -11.042      -16.922      -28.774      -11.004      -13.257      -14.345      -12.832      -12.948      -8.2979      -11.558      -17.450      -21.121      -24.361      -13.223      -9.3051      -8.2042      -11.056      -13.297      -10.343      -12.371      -13.411      -6.6778      -7.4524    
  2305.000  -.34338          1.01981   13.154      -1.4421      -3.3100      -5.9386      -5.3625      -4.5358      -5.0067      -10.062      -7.6053      -14.879      -17.430      -11.942      -10.911      -13.410      -8.5262      -5.3430      -5.7563      -11.831      -24.078      -12.822      -16.092      -16.451      -30.186      -13.477      -33.499      -6.7054      -8.5187      -10.168      -12.907      -13.865      -10.437      -15.304      -5.6856      -9.6453      -10.801      -12.975      -22.377      -25.838      -10.036      -12.722      -14.644      -15.690      -5.3297      -17.752      -12.414      -15.484      -24.168      -25.425      -27.398      -8.0883      -11.053      -16.926      -28.785      -11.014      -13.262      -14.351      -12.835      -12.951      -8.3053      -11.573      -17.472      -21.150      -24.372      -13.231      -9.3107      -8.2122      -11.068      -13.315      -10.347      -12.382      -13.422      -6.6853      -7.4525    
  2304.000  -.35408          1.02061   13.143      -1.4476      -3.3100      -5.9525      -5.3693      -4.5352      -5.0075      -10.066      -7.6078      -14.890      -17.441      -11.948      -10.911      -13.422      -8.5356      -5.3462      -5.7625      -11.843      -24.085      -12.829      -16.098      -16.467      -30.202      -13.489      -33.521      -6.7115      -8.5310      -10.186      -12.931      -13.886      -10.459      -15.333      -5.6945      -9.6582      -10.818      -12.997      -22.414      -25.882      -10.042      -12.735      -14.662      -15.695      -5.3313      -17.760      -12.424      -15.498      -24.193      -25.451      -27.429      -8.0929      -11.064      -16.930      -28.795      -11.023      -13.267      -14.357      -12.837      -12.954      -8.3128      -11.587      -17.495      -21.179      -24.383      -13.239      -9.3164      -8.2201      -11.080      -13.333      -10.351      -12.392      -13.432      -6.6928      -7.4527    
  2303.000  -.36479          1.02142   13.133      -1.4532      -3.3100      -5.9664      -5.3761      -4.5345      -5.0082      -10.070      -7.6102      -14.901      -17.453      -11.954      -10.912      -13.435      -8.5451      -5.3494      -5.7686      -11.854      -24.092      -12.836      -16.105      -16.484      -30.217      -13.501      -33.544      -6.7177      -8.5433      -10.205      -12.956      -13.907      -10.481      -15.361      -5.7034      -9.6711      -10.835      -13.020      -22.452      -25.925      -10.048      -12.747      -14.680      -15.699      -5.3328      -17.768      -12.434      -15.512      -24.219      -25.477      -27.461      -8.0976      -11.075      -16.934      -28.805      -11.032      -13.273      -14.363      -12.839      -12.957      -8.3202      -11.602      -17.517      -21.208      -24.394      -13.246      -9.3221      -8.2281      -11.092      -13.351      -10.356      -12.403      -13.443      -6.7004      -7.4528    
  2302.000  -.37550          1.02223   13.122      -1.4588      -3.3100      -5.9804      -5.3828      -4.5339      -5.0089      -10.073      -7.6127      -14.912      -17.465      -11.961      -10.912      -13.447      -8.5546      -5.3526      -5.7748      -11.866      -24.099      -12.842      -16.111      -16.500      -30.233      -13.513      -33.566      -6.7239      -8.5557      -10.223      -12.980      -13.928      -10.503      -15.389      -5.7123      -9.6840      -10.852      -13.042      -22.489      -25.969      -10.054      -12.760      -14.699      -15.703      -5.3343      -17.776      -12.444      -15.526      -24.245      -25.502      -27.493      -8.1023      -11.087      -16.938      -28.815      -11.041      -13.278      -14.368      -12.841      -12.960      -8.3276      -11.616      -17.539      -21.237      -24.404      -13.254      -9.3277      -8.2360      -11.104      -13.369      -10.360      -12.413      -13.453      -6.7079      -7.4529    
  2301.000  -.38621          1.02303   13.112      -1.4643      -3.3100      -5.9943      -5.3896      -4.5333      -5.0097      -10.077      -7.6151      -14.922      -17.476      -11.967      -10.912      -13.459      -8.5640      -5.3559      -5.7809      -11.877      -24.107      -12.849      -16.117      -16.516      -30.248      -13.525      -33.588      -6.7300      -8.5680      -10.241      -13.004      -13.949      -10.525      -15.418      -5.7212      -9.6969      -10.870      -13.065      -22.526      -26.012      -10.060      -12.772      -14.717      -15.707      -5.3359      -17.784      -12.453      -15.540      -24.270      -25.528      -27.525      -8.1069      -11.098      -16.943      -28.825      -11.050      -13.283      -14.374      -12.843      -12.963      -8.3351      -11.631      -17.562      -21.266      -24.415      -13.262      -9.3334      -8.2440      -11.116      -13.387      -10.364      -12.424      -13.464      -6.7155      -7.4531    
  2300.000  -.39692          1.02384   13.101      -1.4699      -3.3100      -6.0083      -5.3964      -4.5327      -5.0104      -10.080      -7.6175      -14.933      -17.488      -11.973      -10.912      -13.472      -8.5735      -5.3592      -5.7872      -11.889      -24.114      -12.856      -16.123      -16.533      -30.264      -13.537      -33.610      -6.7362      -8.5803      -10.259      -13.028      -13.970      -10.547      -15.446      -5.7302      -9.7098      -10.887      -13.088      -22.563      -26.056      -10.066      -12.785      -14.736      -15.711      -5.3375      -17.792      -12.463      -15.554      -24.296      -25.554      -27.557      -8.1116      -11.109      -16.947      -28.836      -11.059      -13.288      -14.380      -12.846      -12.966      -8.3425      -11.645      -17.584      -21.294      -24.425      -13.270      -9.3391      -8.2520      -11.128      -13.405      -10.369      -12.434      -13.475      -6.7230      -7.4532    
