100   ! Number of radial points 
!                                                                                                                                                                                                               1  
!   r(cm)          n(H2)[cm-3]    Tk(K)          delv[km/s]     Vexp[km/s]     Tdust(K)       gas:dust                 x(He)             x(e-)             x(H)              x(H+)           SO
    0.31697E+16    0.56835E+06    0.12039E+03    0.10000E+01    0.18500E+02    0.24031E+03    0.43478E+03              0.170000          1.000000E-20      1.000000E-20      1.000000E-20    0.10000E-05
    0.34361E+16    0.48363E+06    0.11469E+03    0.10000E+01    0.18500E+02    0.23268E+03    0.43478E+03              0.170000          1.000000E-20      1.000000E-20      1.000000E-20    0.10000E-05
    0.37250E+16    0.41154E+06    0.10927E+03    0.10000E+01    0.18500E+02    0.22529E+03    0.43478E+03              0.170000          1.000000E-20      1.000000E-20      1.000000E-20    0.10000E-05
    0.40381E+16    0.35019E+06    0.10411E+03    0.10000E+01    0.18500E+02    0.21813E+03    0.43478E+03              0.170000          1.000000E-20      1.000000E-20      1.000000E-20    0.10000E-05
    0.43775E+16    0.29799E+06    0.99186E+02    0.10000E+01    0.18500E+02    0.21120E+03    0.43478E+03              0.170000          1.000000E-20      1.000000E-20      1.000000E-20    0.10000E-05
    0.47454E+16    0.25357E+06    0.94498E+02    0.10000E+01    0.18500E+02    0.20449E+03    0.43478E+03              0.170000          1.000000E-20      1.000000E-20      1.000000E-20    0.10000E-05
    0.51443E+16    0.21577E+06    0.90030E+02    0.10000E+01    0.18500E+02    0.19800E+03    0.43478E+03              0.170000          1.000000E-20      1.000000E-20      1.000000E-20    0.10000E-05
    0.55767E+16    0.18361E+06    0.85775E+02    0.10000E+01    0.18500E+02    0.19171E+03    0.43478E+03              0.170000          1.000000E-20      1.000000E-20      1.000000E-20    0.10000E-05
    0.60455E+16    0.15624E+06    0.81720E+02    0.10000E+01    0.18500E+02    0.18562E+03    0.43478E+03              0.170000          1.000000E-20      1.000000E-20      1.000000E-20    0.10000E-05
    0.65536E+16    0.13295E+06    0.77857E+02    0.10000E+01    0.18500E+02    0.17972E+03    0.43478E+03              0.170000          1.000000E-20      1.000000E-20      1.000000E-20    0.10000E-05
